name	type	units
Fp1	EEG	microV
Fpz	EEG	microV
Fp2	EEG	microV
AFp1	EEG	microV
AFp2	EEG	microV
AF3	EEG	microV
AFz	EEG	microV
AF4	EEG	microV
AFF1h	EEG	microV
AFF2h	EEG	microV
F1	EEG	microV
Fz	EEG	microV
F2	EEG	microV
FFC1h	EEG	microV
FFC2h	EEG	microV
FC1	EEG	microV
FCz	EEG	microV
FC2	EEG	microV
FCC1h	EEG	microV
FCC2h	EEG	microV
C1	EEG	microV
Cz	EEG	microV
C2	EEG	microV
CCP1h	EEG	microV
CCP2h	EEG	microV
CP1	EEG	microV
CPz	EEG	microV
CP2	EEG	microV
CPP1h	EEG	microV
CPP2h	EEG	microV
P1	EEG	microV
Pz	EEG	microV
P2	EEG	microV
PPO1h	EEG	microV
PPO2h	EEG	microV
PO3	EEG	microV
POz	EEG	microV
PO4	EEG	microV
O1	EEG	microV
Oz	EEG	microV
O2	EEG	microV
I1	EEG	microV
Iz	EEG	microV
I2	EEG	microV
AF7	EEG	microV
F9	EEG	microV
F7	EEG	microV
FT9	EEG	microV
AFF5h	EEG	microV
F5	EEG	microV
FT7	EEG	microV
F3	EEG	microV
FFC5h	EEG	microV
FC5	EEG	microV
FTT7h	EEG	microV
T7	EEG	microV
FFC3h	EEG	microV
FC3	EEG	microV
FCC5h	EEG	microV
C5	EEG	microV
TTP7h	EEG	microV
TP7	EEG	microV
P9	EEG	microV
FCC3h	EEG	microV
C3	EEG	microV
CCP5h	EEG	microV
CP5	EEG	microV
P7	EEG	microV
PO9	EEG	microV
CCP3h	EEG	microV
CP3	EEG	microV
CPP5h	EEG	microV
P5	EEG	microV
PO7	EEG	microV
CPP3h	EEG	microV
P3	EEG	microV
AF8	EEG	microV
F10	EEG	microV
F8	EEG	microV
FT10	EEG	microV
AFF6h	EEG	microV
F6	EEG	microV
FT8	EEG	microV
F4	EEG	microV
FFC6h	EEG	microV
FC6	EEG	microV
FTT8h	EEG	microV
T8	EEG	microV
FFC4h	EEG	microV
FC4	EEG	microV
FCC6h	EEG	microV
C6	EEG	microV
TTP8h	EEG	microV
TP8	EEG	microV
P10	EEG	microV
FCC4h	EEG	microV
C4	EEG	microV
CCP6h	EEG	microV
CP6	EEG	microV
P8	EEG	microV
PO10	EEG	microV
CCP4h	EEG	microV
CP4	EEG	microV
CPP6h	EEG	microV
P6	EEG	microV
PO8	EEG	microV
CPP4h	EEG	microV
P4	EEG	microV
TIBR1	EMG	n/a
TIBR2	EMG	n/a
TIBL1	EMG	n/a
TIBL2	EMG	n/a
